tempo;m;n;diagonais;threads
887,00; 500; 500; 999; 4
tempo;m;n;diagonais;threads
1291,00; 500; 500; 999; 4
tempo;m;n;diagonais;threads
1346,00; 500; 500; 999; 4
tempo;m;n;diagonais;threads
1256,00; 500; 500; 999; 4
tempo;m;n;diagonais;threads
tempo;m;n;diagonais;threads
tempo;m;n;diagonais;threads
tempo;m;n;diagonais;threads
tempo;m;n;diagonais;threads
tempo;m;n;diagonais;threads
tempo;m;n;diagonais;threads
tempo;m;n;diagonais;threads
1321,00; 500; 500; 999; 4
tempo;m;n;diagonais;threads
244,00; 100; 100; 199; 4
tempo;m;n;diagonais;threads
180,00; 100; 100; 199; 4
tempo;m;n;diagonais;threads
197,00; 100; 100; 199; 4
tempo;m;n;diagonais;threads
304,00; 100; 100; 199; 4
tempo;m;n;diagonais;threads
198,00; 100; 100; 199; 4
tempo;m;n;diagonais;threads
177,00; 100; 100; 199; 3
tempo;m;n;diagonais;threads
210,00; 100; 100; 199; 10
tempo;m;n;diagonais;threads
496,00; 100; 100; 199; 10
tempo;m;n;diagonais;threads
592,00; 100; 100; 199; 10
